date,pass,block,solution,sprayer,nozzle,distance_m,deposition,type,location,distance_log,deposition_log
2020-09-19T00:00:00Z,16,3,Intact,Open,TTI,16,0.09428605356282305,downwind,missouri,1.2041199826559248,-1.0255525417127254
2020-09-19T00:00:00Z,16,3,Intact,Open,TTI,30,0.05665879952157316,downwind,missouri,1.4771212547196624,-1.2467326314865954
2020-09-19T00:00:00Z,16,3,Intact,Open,TTI,45,0.021423458745642457,downwind,missouri,1.6532125137753437,-1.6691104124544596
2020-09-19T00:00:00Z,16,3,Intact,Open,TTI,60,0.04075903803726045,downwind,missouri,1.7781512503836436,-1.3897760744212428
2020-09-19T00:00:00Z,17,3,Intact,Open,AIXR,1,9.039112429314772,downwind,missouri,0,0.9561257882214683
2020-09-19T00:00:00Z,17,3,Intact,Open,AIXR,2,1.9269802996260168,downwind,missouri,0.3010299956639812,0.28487727469310375
2020-09-19T00:00:00Z,17,3,Intact,Open,AIXR,3,1.0756455170710972,downwind,missouri,0.47712125471966244,0.03166917156777212
2020-09-19T00:00:00Z,17,3,Intact,Open,AIXR,4,0.8016493737436944,downwind,missouri,0.6020599913279624,-0.09601554236992783
2020-09-19T00:00:00Z,17,3,Intact,Open,AIXR,8,0.4327860609609397,downwind,missouri,0.9030899869919435,-0.36372673529805094
2020-09-19T00:00:00Z,17,3,Intact,Open,AIXR,16,0.13757918755623025,downwind,missouri,1.2041199826559248,-0.8614472595098212
2020-09-19T00:00:00Z,17,3,Intact,Open,AIXR,30,0.07990343522273143,downwind,missouri,1.4771212547196624,-1.0974345490188506
2020-09-19T00:00:00Z,17,3,Intact,Open,AIXR,45,0.0357662828211149,downwind,missouri,1.6532125137753437,-1.4465261935989926
2020-09-19T00:00:00Z,17,3,Intact,Open,AIXR,60,0.042211475918320904,downwind,missouri,1.7781512503836436,-1.3745694625346125
2020-09-19T00:00:00Z,18,3,Intact,Hood,AIXR,1,4.683222914702513,downwind,missouri,0,0.6705448300693266
2020-09-19T00:00:00Z,18,3,Intact,Hood,AIXR,2,0.5054017380391891,downwind,missouri,0.3010299956639812,-0.2963632689069405
2020-09-19T00:00:00Z,18,3,Intact,Hood,AIXR,3,0.329163350529642,downwind,missouri,0.47712125471966244,-0.4825885256736168
2020-09-19T00:00:00Z,18,3,Intact,Hood,AIXR,4,0.1620838083552369,downwind,missouri,0.6020599913279624,-0.790260367589461
2020-09-19T00:00:00Z,18,3,Intact,Hood,AIXR,8,0.1176772855181857,downwind,missouri,0.9030899869919435,-0.9293073581091279
2020-09-19T00:00:00Z,18,3,Intact,Hood,AIXR,16,0.07479723690365815,downwind,missouri,1.2041199826559248,-1.126114445179103
2020-09-19T00:00:00Z,18,3,Intact,Hood,AIXR,30,0.056757087001106064,downwind,missouri,1.4771212547196624,-1.2459799023585
2020-09-19T00:00:00Z,18,3,Intact,Hood,AIXR,45,0.007283680695420916,downwind,missouri,1.6532125137753437,-2.1376491012154317
2020-09-19T00:00:00Z,18,3,Intact,Hood,AIXR,60,0.0177756493162058,downwind,missouri,1.7781512503836436,-1.7501745262215591
2020-09-19T00:00:00Z,19,4,Intact,Hood,ULD,1,1.5475673208712346,downwind,missouri,0,0.18964955038809247
2020-09-19T00:00:00Z,19,4,Intact,Hood,ULD,2,0.91394174814006,downwind,missouri,0.3010299956639812,-0.03908148398995282
2020-09-19T00:00:00Z,19,4,Intact,Hood,ULD,3,0.3978546905432057,downwind,missouri,0.47712125471966244,-0.4002755174193572
2020-09-19T00:00:00Z,19,4,Intact,Hood,ULD,4,0.25936184744515217,downwind,missouri,0.6020599913279624,-0.5860939089870097
2020-09-19T00:00:00Z,19,4,Intact,Hood,ULD,8,0.25728029168716543,downwind,missouri,0.9030899869919435,-0.5895934805573635
2020-09-19T00:00:00Z,19,4,Intact,Hood,ULD,16,0.06799748809423464,downwind,missouri,1.2041199826559248,-1.1675071303373281
2020-09-19T00:00:00Z,19,4,Intact,Hood,ULD,30,0.06952396231675828,downwind,missouri,1.4771212547196624,-1.157865484498596
2020-09-19T00:00:00Z,19,4,Intact,Hood,ULD,45,0.010665389589723477,downwind,missouri,1.6532125137753437,-1.9720232758379155
2020-09-19T00:00:00Z,19,4,Intact,Hood,ULD,60,0.0020810516272631186,downwind,missouri,1.7781512503836436,-2.6817171455657074
2020-09-19T00:00:00Z,20,4,Intact,Hood,TTI,1,0.8925711090247291,downwind,missouri,0,-0.04935717462544695
2020-09-19T00:00:00Z,20,4,Intact,Hood,TTI,2,0.5194175468096334,downwind,missouri,0.3010299956639812,-0.2844833832514198
2020-09-19T00:00:00Z,20,4,Intact,Hood,TTI,3,0.6357071284891613,downwind,missouri,0.47712125471966244,-0.196742918589758
2020-09-19T00:00:00Z,20,4,Intact,Hood,TTI,4,0.169716179467855,downwind,missouri,0.6020599913279624,-0.7702767533295565
2020-09-19T00:00:00Z,20,4,Intact,Hood,TTI,8,0.08673148991611566,downwind,missouri,0.9030899869919435,-1.0618231930217663
2020-09-19T00:00:00Z,20,4,Intact,Hood,TTI,16,0.06952396231675832,downwind,missouri,1.2041199826559248,-1.1578654844985958
2020-09-19T00:00:00Z,20,4,Intact,Hood,TTI,30,0.02109309834759933,downwind,missouri,1.4771212547196624,-1.6758596224210691
2020-09-19T00:00:00Z,20,4,Intact,Hood,TTI,45,0.01153249443441644,downwind,missouri,1.6532125137753437,-1.938076746310228
2020-09-19T00:00:00Z,20,4,Intact,Hood,TTI,60,0.014393940421903235,downwind,missouri,1.7781512503836436,-1.8418202992372583
2020-09-19T00:00:00Z,21,4,Intact,Open,AIXR,1,6.709128258219925,downwind,missouri,0,0.8266660943508646
2020-09-19T00:00:00Z,21,4,Intact,Open,AIXR,2,1.8804910282237006,downwind,missouri,0.3010299956639812,0.2742712657551026
